,importance
TRBC (in 10^6 /microL),2.2800957020496977
MCH (in pg),1.4928186147036333
History of any type of allergy,0.6620749677792699
MCV (in fL),0.6393821845770397
RDW (%),0.5407852463771566
Urea (mg/dL),0.5181758491995805
USG,0.4837778346267818
Obs Score L,0.4591082205515362
TIBC (in microg/dL),0.4513185758066459
Icterus,0.44901919684619773
POG (in weeks),0.4192512559106424
Edema,0.41442587034150347
MCHC (in gm/dL),0.4051353213118898
Reticulocyte count (in 10^6 /microL),0.370809825775379
Indirect (mg/dL),0.36380896429271714
History of blood transfusion during pregnancy,0.3285891816197118
Dietary habits,0.32411534941015896
Direct (mg/dL),0.3047303632303135
Creatinine (mg/dL),0.2943912374970961
Total bilirubin (mg/dL),0.24999956985995858
Family history of hemoglobinopathy,0.2275849470066703
Serum iron (in microg/dL),0.2262945475260593
LMP known,0.1940871913992918
Reticulocyte%,0.19339523263127528
Pallor,0.1625944470752507
DBP,0.12407956056553833
History of iron supplementation,0.11202568843848176
Pulse (bpm),0.0695136032525404
SBP,0.05726989467970123
Transferrin saturation (%),0.05313248513624181
